edition,country_noc,gold,silver,bronze,total
1992 Summer Olympics,CRC,0,0,0,0
1992 Winter Olympics,CRC,0,0,0,0
1996 Summer Olympics,CRC,1,0,0,1
2000 Summer Olympics,CRC,0,0,2,2
2002 Winter Olympics,CRC,0,0,0,0
2004 Summer Olympics,CRC,0,0,0,0
2006 Winter Olympics,CRC,0,0,0,0
2008 Summer Olympics,CRC,0,0,0,0
2012 Summer Olympics,CRC,0,0,0,0
2016 Summer Olympics,CRC,0,0,0,0
2020 Summer Olympics,CRC,0,0,0,0
1980 Summer Olympics,CYP,0,0,0,0
1980 Winter Olympics,CYP,0,0,0,0
1984 Summer Olympics,CYP,0,0,0,0
1984 Winter Olympics,CYP,0,0,0,0
1988 Summer Olympics,CYP,0,0,0,0
1988 Winter Olympics,CYP,0,0,0,0
1992 Summer Olympics,CYP,0,0,0,0
1992 Winter Olympics,CYP,0,0,0,0
1994 Winter Olympics,CYP,0,0,0,0
1996 Summer Olympics,CYP,0,0,0,0
1998 Winter Olympics,CYP,0,0,0,0
2000 Summer Olympics,CYP,0,0,0,0
2002 Winter Olympics,CYP,0,0,0,0
2004 Summer Olympics,CYP,0,0,0,0
2006 Winter Olympics,CYP,0,0,0,0
2008 Summer Olympics,CYP,0,0,0,0
2010 Winter Olympics,CYP,0,0,0,0
2012 Summer Olympics,CYP,0,1,0,1
2014 Winter Olympics,CYP,0,0,0,0
2016 Summer Olympics,CYP,0,0,0,0
2018 Winter Olympics,CYP,0,0,0,0
2020 Summer Olympics,CYP,0,0,0,0
2022 Winter Olympics,CYP,0,0,0,0
1984 Summer Olympics,GEQ,0,0,0,0
1988 Summer Olympics,GEQ,0,0,0,0
1992 Summer Olympics,GEQ,0,0,0,0
1996 Summer Olympics,GEQ,0,0,0,0
2000 Summer Olympics,GEQ,0,0,0,0
2004 Summer Olympics,GEQ,0,0,0,0
2008 Summer Olympics,GEQ,0,0,0,0
2012 Summer Olympics,GEQ,0,0,0,0
2016 Summer Olympics,GEQ,0,0,0,0
2020 Summer Olympics,GEQ,0,0,0,0
2000 Summer Olympics,ERI,0,0,0,0
2004 Summer Olympics,ERI,0,0,1,1
2008 Summer Olympics,ERI,0,0,0,0
2012 Summer Olympics,ERI,0,0,0,0
2016 Summer Olympics,ERI,0,0,0,0
2018 Winter Olympics,ERI,0,0,0,0
2020 Summer Olympics,ERI,0,0,0,0
2022 Winter Olympics,ERI,0,0,0,0
1992 Summer Olympics,CRO,0,1,2,3
1992 Winter Olympics,CRO,0,0,0,0
1994 Winter Olympics,CRO,0,0,0,0
1996 Summer Olympics,CRO,1,1,0,2
1998 Winter Olympics,CRO,0,0,0,0
2000 Summer Olympics,CRO,1,0,1,2
2002 Winter Olympics,CRO,3,1,0,4
2004 Summer Olympics,CRO,1,2,2,5
2006 Winter Olympics,CRO,1,2,0,3
2008 Summer Olympics,CRO,0,2,3,5
2010 Winter Olympics,CRO,0,2,1,3
2012 Summer Olympics,CRO,3,1,2,6
2014 Winter Olympics,CRO,0,1,0,1
2016 Summer Olympics,CRO,5,3,2,10
2018 Winter Olympics,CRO,0,0,0,0
2020 Summer Olympics,CRO,3,3,2,8
2022 Winter Olympics,CRO,0,0,0,0
1964 Winter Olympics,PRK,0,1,0,1
1972 Summer Olympics,PRK,1,1,3,5
1972 Winter Olympics,PRK,0,0,0,0
1976 Summer Olympics,PRK,1,1,0,2
1980 Summer Olympics,PRK,0,3,2,5
1984 Winter Olympics,PRK,0,0,0,0
1988 Winter Olympics,PRK,0,0,0,0
1992 Summer Olympics,PRK,4,0,5,9
1992 Winter Olympics,PRK,0,0,1,1
1996 Summer Olympics,PRK,2,1,2,5
1998 Winter Olympics,PRK,0,0,0,0
2000 Summer Olympics,PRK,0,1,3,4
2004 Summer Olympics,PRK,0,4,1,5
2006 Winter Olympics,PRK,0,0,0,0
2008 Summer Olympics,PRK,2,2,2,6
2010 Winter Olympics,PRK,0,0,0,0
2012 Summer Olympics,PRK,4,0,3,7
2016 Summer Olympics,PRK,2,3,2,7
2018 Winter Olympics,PRK,0,0,0,0
1964 Summer Olympics,DOM,0,0,0,0
1968 Summer Olympics,DOM,0,0,0,0
1972 Summer Olympics,DOM,0,0,0,0
1976 Summer Olympics,DOM,0,0,0,0
1980 Summer Olympics,DOM,0,0,0,0
1984 Summer Olympics,DOM,0,0,1,1
1988 Summer Olympics,DOM,0,0,0,0
1992 Summer Olympics,DOM,0,0,0,0
1996 Summer Olympics,DOM,0,0,0,0
2000 Summer Olympics,DOM,0,0,0,0
2004 Summer Olympics,DOM,1,0,0,1
2008 Summer Olympics,DOM,1,1,0,2
2012 Summer Olympics,DOM,1,1,0,2
2016 Summer Olympics,DOM,0,0,1,1
2020 Summer Olympics,DOM,0,3,2,5
1932 Summer Olympics,ESA,0,0,0,0
1968 Summer Olympics,ESA,0,0,0,0
1972 Summer Olympics,ESA,0,0,0,0
1984 Summer Olympics,ESA,0,0,0,0
1988 Summer Olympics,ESA,0,0,0,0
1992 Summer Olympics,ESA,0,0,0,0
1996 Summer Olympics,ESA,0,0,0,0
2000 Summer Olympics,ESA,0,0,0,0
2004 Summer Olympics,ESA,0,0,0,0
2008 Summer Olympics,ESA,0,0,0,0
2012 Summer Olympics,ESA,0,0,0,0
2016 Summer Olympics,ESA,0,0,0,0
